0.055691488,iTnews,https://www.itnews.com.au/news/eu-us-data-flows-could-face-massive-disruption-561475,EU-US data flows could face 'massive disruption' ellipsis,487
-0.08,NCA NewsWire,https://www.news.com.au/finance/business/media/charges-against-journos-editors-dropped/news-story/45b7da6d135f564e6f8003adf3761484,"Charges against journos, editors dropped in Pell ellipsis case",271
0.102577895,ABC News,https://www.abc.net.au/news/2021-02-13/britney-spears-documentary-free-britney-legal-issues-media/13148894,New documentary shines a 2021 light on how we did ellipsis Britney wrong,1173
0.15290938,The Sydney Morning Herald,https://www.smh.com.au/politics/federal/wake-up-call-business-council-urges-increase-to-foreign-aid-to-counter-china-20210225-p575u5.html,‘Wake-up call’: Business-ellipsis-Council urges increase to foreign aid to counter China,683
0.13132107,The Age,https://www.theage.com.au/sport/afl/eagles-boss-says-rioli-saga-a-wake-up-call-for-players-20210304-p577xe.html,Eagles boss says Rioli saga a wake-up call ellipsis for players,732
0.11122449,9News,https://www.9news.com.au/national/qantas-mystery-flights-day-trips-coronavirus/4007658f-2309-47b9-92c7-0efda924ea7f,Qantas launches 'mystery' flight ellipsis day trips,266
-0.111666664,The Guardian,https://www.theguardian.com/uk-news/2021/mar/06/arrest-after-man-dies-in-harrogate-flat,Murder arrest after man dies in ellipsis Harrogate flat,87
0.016317395,The West Australian,https://thewest.com.au/news/health/fine-for-vic-pastor-over-lockdown-defiance-ng-s-2049584,Vic pastor maintains ellipsis lockdown defiance,229
0.17007877,The West Australian,https://thewest.com.au/sport/afl/collingwood-defeat-battling-tigers-in-aflw-ng-s-2049466,Collingwood defeat battling Tigers ellipsis in AFLW,398
0.12620968,The West Australian,https://thewest.com.au/sport/golf/burns-builds-big-pga-lead-at-riviera-ng-s-2050330,Burns builds big PGA lead at ellipsis Riviera,448
0.036975525,The West Australian,https://thewest.com.au/politics/law-and-order/hard-to-break-jail-cycle-disability-probe-ng-s-2051014,Hard to break jail cycle: ellipsis disability probe,500
0.054668535,The Canberra Times,https://www.canberratimes.com.au/story/7154405/2025-emissions-reduction-target-hard-to-achieve-rattenbury/,ACT 2025 ellipsis reduction target 'hard to achieve': Greens leader Shane Ratenbury,1171
0.08976569,The Guardian,https://www.theguardian.com/world/2021/feb/22/covid-what-is-the-science-behind-plans-to-relax-englands-lockdown,What is the science ellipsis behind plans to relax England's lockdown?,881
0.13110523,The West Australian,https://thewest.com.au/business/markets/us-stocks-silver-climb-in-calmer-trading-ng-s-2047718,"Wall Street up sharply, led by tech ellipsis gains",446
0.06645834,The Guardian,https://www.theguardian.com/film/2021/mar/01/body-brokers-review-drug-abusers-insurance-us-healthcare,Body Brokers review – drug abusers feed addiction to profit ellipsis,360
0.12596154,The West Australian,https://thewest.com.au/sport/afl/shepherd-to-continue-as-afl-club-gws-chair-ng-s-2049916,Shepherd to continue as AFL club GWS chair ellipsis,202
