2040070,Convenient & comfy double bed; 50m to ellipsis train,10464664,Saluja,City of Sydney,Sydney,-33.89150518,151.1994871,Private room,100,11,13,1/01/2018,0.79,1,0
3284239,"Close to airport, beach and ellipsis Novotel",14432012,Catriona,Southern Sydney,Rockdale,-33.96002725,151.1536481,Shared room,120,2,37,24/11/2018,0.73,2,25
3571393,Charming 4 Bedroom Family Home (ellipsis),12519122,Deborah,Lower North Shore,Willoughby,-33.8091972,151.2103498,Entire home/apt,680,7,1,19/01/2016,0.03,1,0
4404443,Beautiful sunny beachside ellipsis room,9082178,Freyja,Eastern Suburbs,Randwick,-33.91342221,151.2624894,Private room,80,7,2,2/01/2017,0.04,1,362
4644667,Light filled Coogee ellipsis Apartment,9656766,Claire,Eastern Suburbs,Randwick,-33.92034635,151.2503896,Entire home/apt,180,7,18,12/01/2018,0.38,1,28
4771018,2 Bedroom ellipsis Bondi Penthouse,10244117,Lauren,Eastern Suburbs,Waverley,-33.89153666,151.2727152,Entire home/apt,180,3,26,1/01/2018,0.73,7,250
5406218,Single room ellipsis right by the beach,5864701,Tara,Eastern Suburbs,Waverley,-33.88781729,151.2718996,Private room,29,1,0,,,1,0
23111494,Luxurious 3 Bedroom ellipsis House close to the city,171726292,Cath,Inner West,Leichhardt,-33.85605405,151.1804681,Entire home/apt,299,3,20,19/11/2018,2.05,1,45
23524960,1 Bed in Girl's-ellipsis-Shared Ensuite Near Shops/Ocean,174682438,Perfect,Eastern Suburbs,Woollahra,-33.86322335,151.2774097,Shared room,40,7,3,1/04/2018,0.33,2,0
23856632,comfortable shared  ellipsis Room with private bathroom,156377749,Salvatore,Inner West,Burwood,-33.88009896,151.1146805,Shared room,42,3,0,,,1,23
24000613,Cosy townhouse close ellipsis to Sydney centre and harbour,2815792,Steve,Inner West,Canada Bay,-33.84951741,151.1540658,Entire home/apt,150,14,3,29/09/2018,0.5,1,35
27814857,Enjoy Village ellipsis Life Leichhardt/Haberfield.,193559618,Kerry,Inner West,Leichhardt,-33.88132836,151.1494282,Entire home/apt,350,1,3,23/11/2018,0.82,2,53
27944620,Cosy appartment ellipsis in the heart of Waterloo,204665063,Alex & Ben,City of Sydney,Sydney,-33.89961085,151.2116895,Entire home/apt,195,10,0,,,1,22
28159523,Sydney Quiet ellipsis Leafy Stay,10244831,Lloyd,Lower North Shore,North Sydney,-33.83042106,151.200126,Private room,60,20,0,,,1,21
28522359,Bright room ellipsis with individual bathroom and parking,159434340,Wendy,Inner West,Strathfield,-33.86945651,151.0909028,Private room,68,1,15,30/11/2018,5.49,2,68
28683013,Glenfield ellipsis Cozy Granny Flat,181584188,Ken,Macarthur,Campbelltown,-33.98266204,150.8993998,Entire home/apt,145,1,4,10/11/2018,1.82,29,334
29015718,Nice Twin-Shared Room ellipsis for a Male in Pyrmont,2308393,Gil,City of Sydney,Sydney,-33.87075387,151.1958735,Shared room,36,14,0,,,23,180
29138186,Mosman Summer ellipsis Enteraining,128074617,Nick,Lower North Shore,Mosman,-33.82041964,151.233005,Entire home/apt,775,7,0,,,1,82
29260693,1 bed flat 5 ellipsis minute walk to Bondi beach!,95743302,Jacob,Eastern Suburbs,Waverley,-33.88607845,151.2698748,Entire home/apt,199,5,0,,,1,22
29592677,Share bed for ellipsis female only,61546541,Lovely,City of Sydney,Sydney,-33.87106382,151.1945821,Shared room,29,1,1,17/11/2018,1,2,0
29688687,Langley House -Free Wifi/Aircon/ Parking/Netflix/ellipsis,17797095,Aimee,(Greater) Western Sydney,Blacktown,-33.74379794,150.9181651,Entire home/apt,150,2,3,20/11/2018,3,12,77
29788098,Walking distance to ellipsis Bronte Beach and cafes,48441617,Nadine,Eastern Suburbs,Waverley,-33.90422475,151.2553227,Entire home/apt,120,2,1,17/11/2018,1,1,16
29885091,"Fantastic Apt in ellipsis Sydney, Zetland",95073223,Erwin,City of Sydney,Sydney,-33.90284973,151.2143471,Private room,86,1,3,1/12/2018,3,1,43
